ticker,company_name,ceo_name,ceo_role,appointment_date,resignation_date,open_at_appointment,close_at_resignation,photo_path,photo_exists
1301,極洋,極洋,current,,,,,photos/1301_極洋/current/photo_01.jpg,False
1332,ニッスイ,"氏名
地位",current,,,,,photos/1332_ニッスイ/current/photo_01.jpg,False
1332,ニッスイ,"氏名
地位",current,,,,,photos/1332_ニッスイ/current/photo_02.jpg,False
1332,ニッスイ,"氏名
地位",current,,,,,photos/1332_ニッスイ/current/photo_03.jpg,False
1332,ニッスイ,"氏名
地位",current,,,,,photos/1332_ニッスイ/current/photo_04.jpg,False
1332,ニッスイ,"氏名
地位",current,,,,,photos/1332_ニッスイ/current/photo_05.jpg,False
1375,ユキグニファクトリー,体制,current,,,,,photos/1375_ユキグニファクトリー/current/photo_01.jpg,False
1377,サカタのタネ,会長 坂田,current,2025年8月,,3326.57,,photos/1377_サカタのタネ/current/photo_01.jpg,False
1379,ホクト,食品包装,current,,,,,photos/1379_ホクト/current/photo_01.jpg,False
1379,ホクト,食品包装,current,,,,,photos/1379_ホクト/current/photo_02.jpg,False
1417,ミライト・ワン,日本語,current,2025年12月,,3160.0,,photos/1417_ミライト・ワン/current/photo_01.jpg,False
1417,ミライト・ワン,日本語,current,2025年12月,,3160.0,,photos/1417_ミライト・ワン/current/photo_02.jpg,False
1417,ミライト・ワン,日本語,current,2025年12月,,3160.0,,photos/1417_ミライト・ワン/current/photo_03.jpg,False
1417,ミライト・ワン,日本語,current,2025年12月,,3160.0,,photos/1417_ミライト・ワン/current/photo_04.jpg,False
1417,ミライト・ワン,日本語,current,2025年12月,,3160.0,,photos/1417_ミライト・ワン/current/photo_05.jpg,False
1414,ショーボンドホールディングス,,current,2025年6月,,1145.92,,photos/1414_ショーボンドホールディングス/current/photo_01.jpg,False
1429,日本アクア,中村文隆,current,2004年11月,,,,photos/1429_日本アクア/current/photo_01.jpg,False
1446,キャンディル,林 晃生,current,,,,,photos/1446_キャンディル/current/photo_01.jpg,False
1514,住石ホールディングス,"役会
取締",current,,,,,photos/1514_住石ホールディングス/current/photo_01.jpg,False
1605,INPEX,上田,current,,,,,photos/1605_INPEX/current/photo_01.jpg,False
1518,三井松島ホールディングス,社会,current,,,,,photos/1518_三井松島ホールディングス/current/photo_01.jpg,False
1447,SAAFホールディングス,奈田 直幸,current,,,,,photos/1447_SAAFホールディングス/current/photo_01.jpg,False
1711,SDSホールディングス,渡辺 悠介,current,2020年10月,,357.0,,photos/1711_SDSホールディングス/current/photo_01.jpg,False
1663,K&Oエナジーグループ,未来,current,,,,,photos/1663_K_Oエナジーグループ/current/photo_01.jpg,False
1720,東急建設,寺田　光宏,current,,,,,photos/1720_東急建設/current/photo_01.jpg,False
1721,コムシスホールディングス,田辺　博,current,,,,,photos/1721_コムシスホールディングス/current/photo_01.jpg,False
